date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:28:48	365074/365074	---M-Z	200	added ('OK')	text/html	etag:%2259212-NvmE1WHsUi0BkCtjcZGOn767UcQ%22	https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy	C:/clone/foxnews_2/www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy.html	(from )
13:28:48	151/151	---M-Z	200	added ('OK')	text/plain	etag:%22bf93289f16c1660996b2a5dfe6822679%22	https://www.foxnews.com/robots.txt		(from )
13:28:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Oct%202025%2004:28:56%20GMT	http://static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-70x70.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-70x70.1.delayed	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:49	9064/9064	---M--	200	added ('OK')	image/png	etag:%22WsGBJMTxZ0AC83f2fVrCIDsFvAadLLrMBT7sIBfT0bA%22	https://static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-70x70.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-70x70.png	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Oct%202025%2004:28:57%20GMT	http://static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-150x150.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-150x150.3.delayed	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:49	12774/12774	---M--	200	added ('OK')	image/png	etag:%22uPKAoVe66MXHjDeHcmivQTyldGg3TKnSoWiJ9m+/C3w%22	https://static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-150x150.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-150x150.png	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Oct%202025%2004:28:57%20GMT	http://static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-310x310.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-310x310.5.delayed	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Oct%202025%2004:28:57%20GMT	http://static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-310x150.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-310x150.7.delayed	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:50	28671/28671	---M--	200	added ('OK')	image/png	etag:%220ppqypIEtsXd0ZftDK1paCOpbcQ1M5VHxbCnw1qv+h4%22	https://static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-310x310.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-310x310.png	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:50	13735/13735	---M--	200	added ('OK')	image/png	etag:%22e7QiT9R2oFHTNG0BnZJkf+bosqQGvtboOPsEyawdNm4%22	https://static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-310x150.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/mstile-310x150.png	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:50	258696/258696	---M--	200	added ('OK')	image/jpeg	etag:%228NpRTwhqDsQg0lJ4/30TUufF3Jg811Qr6LYf82L3H2c%22	https://static.foxnews.com/foxnews.com/content/uploads/2025/10/vineyard-people-walking.jpg	C:/clone/foxnews_2/static.foxnews.com/foxnews.com/content/uploads/2025/10/vineyard-people-walking.jpg	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Oct%202025%2004:28:59%20GMT	http://static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-57x57.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-57x57.b.delayed	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:52	159307/159307	---M--	200	added ('OK')	image/jpeg	etag:%22hvhWi3ROHRTDlSxxG7LJK75jPWcNYNf4OGHygg17i2I%22	https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/10/1024/512/vineyard-people-walking.jpg?ve=1&tl=1	C:/clone/foxnews_2/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/10/1024/512/vineyard-people-walking3a5a.jpg	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:52	4633/4633	---M--	200	added ('OK')	image/png	etag:%22Hz8MeKSnAuZ/FIeQ2kRrMLRfylg1sPEz5hIordUzU9s%22	https://static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-57x57.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-57x57.png	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Oct%202025%2004:28:59%20GMT	http://static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-60x60.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-60x60.d.delayed	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:54	4903/4903	---M--	200	added ('OK')	image/png	etag:%226Qzprr27ZW1ahDIcQjIOiZlW/htqa/pfvl+Xrji+mgY%22	https://static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-60x60.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-60x60.png	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Oct%202025%2004:29:02%20GMT	http://static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-72x72.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-72x72.f.delayed	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:54	6041/6041	---M--	200	added ('OK')	image/png	etag:%22YQq/1prThGct6eh05yQbNUyuGT8crO6q1xEYkvepNzM%22	https://static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-72x72.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-72x72.png	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Oct%202025%2004:29:02%20GMT	http://static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-76x76.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-76x76.11.delayed	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
13:28:54	6345/6345	---M--	200	added ('OK')	image/png	etag:%22hkMfrgVDTsox0ZVyxbqbxEdoteIZ7kxHQL5UZVVpCBY%22	https://static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-76x76.png	C:/clone/foxnews_2/static.foxnews.com/static/orion/styles/img/fox-news/favicons/apple-touch-icon-76x76.png	(from https://www.foxnews.com/food-drink/vineyard-owners-use-gospel-john-metaphor-guide-winemaking-philosophy)
